kelime,frekans
capture,46
food,46
vendor,46
approval,46
virtualnetworkpeerings,46
identityprotection,46
termsofuse,46
policysetdefinitions,46
microsoftbatchai,46
external,46
devicecompliancepolicyid,46
describe,46
corporation,46
virtualwanname,46
receipt,46
apipublic,46
microsoftgraphundosoftdelete,46
microsoftgraphsoftdelete,46
chatmessagehostedcontentid,46
tree,46
sitepageid,46
subnetname,46
teamstabid,46
microsoftintune,46
expressrouteports,45
market,45
prereceiveenvironmentid,45
accesspackageresourceid,45
expressroutegateways,45
avatar,45
pictureid,45
enterpriseid,45
command,45
cloudpcs,45
provisioningservicename,45
dimension,45
ruleid,45
push,45
invoicesectionname,45
resourceuri,45
uploads,45
phonenumbers,45
throughput,45
idcard,44
roleassignmentschedulerequests,44
replica,44
cloudendpointname,44
identityproviders,44
targetid,44
virtualmachinescalesetname,44
mssql,44
dnszones,44
userprocessingresults,44
containergroups,44
assistant,44
corporationid,44
customfields,44
check,44
car,44
publish,43
terminate,43
exchange,43
removetoken,43
registrationtoken,43
markdown,43
targetingtypes,43
targetingtype,43
dataclassification,43
timeline,43
providerid,43
microsoftgraphcheckmembergroups,43
microsoftgraphcheckmemberobjects,43
automation,43
microsoftgraphgetmembergroups,43
microsoftgraphgetmemberobjects,43
payrolladministrationid,43
transitivemembers,42
access,42
owneddevices,42
microsoftrelay,42
add,42
articleid,42
diagnosticcategory,42
state,42
managedappregistrations,42
routefilterrules,42
uuid,42
registereddevices,42
shared,42
protectioncontainers,42
memberswithlicenseerrors,42
purchase,42
volumename,42
calendarpermissions,42
script,42
enrollmentaccounts,42
prereceivehookid,42
attendancereports,42
hotel,42
conversion,42
mapping,42
exporttemplate,42
reporting,41
edits,41
pipeline,41
simulation,41
youtube,41
title,41
week,41
association,41
po,41
replicatedprotecteditemname,41
actionname,41
quota,41
audit,40
getservices,40
tokenid,40
vmimage,40
roleeligibilityschedulerequests,40
projectkey,40
unifiedroleassignmentid,40
deviceconfigurationid,40
authorizationnamespace,40
triggeredwebjobs,40
resourcenamespaces,40
sidjson,40
microsoftgraphassign,40
bundle,40
checkout,40
selectedactions,40
prod,40
microsoftgraphclear,40
policystatesresource,40
microsoftgraphcopytosectiongroup,40
microsoftgraphcopytonotebook,40
targethttpsproxies,40
nodegroups,40
doc,39
tagnames,39
resume,39
iduser,39
microsoftresourcehealth,39
ddosprotectionplans,39
cloudpcid,39
vm,39
milestonenumber,39
playlist,39
change,39
requiredworkflows,39
instantsnapshots,39
paymentlinks,39
opensearch,39
finding,39
linode,39
parentresourcepath,39
availabilitysets,39
readme,39
microsoftservicefabricmesh,39
people,39
e,39
prefix,39
refresh,39
firewallrules,39
backupid,39
mongodb,39
rulename,39
departmentid,38
frontdoors,38
microsoftadvisor,38
backendaddresspools,38
defaultsecurityrules,38
codesofconduct,38
frontendipconfigurations,38
linkid,38
inboundnatrules,38
loadbalancingrules,38
prediction,38
repositoryinvitations,38
resize,38
plugins,38
botid,38
publicmembers,38
logistics,38
deviceenrollmentconfigurations,38
course,38
paymentid,38
requiredstatuschecks,38
unifiedroledefinitionid,38
queuename,38
mobileappid,38
probe,38
accesspackageresourceenvironment,38
voiceconnectors,38
predefinedpolicies,38
outsidecollaborators,38
appointment,38
fill,38
gitignore,38
microsoftlabservices,37
governanceresources,37
reviewsets,37
teamsapp,37
circuit,37
audience,37
row,37
managedebooks,37
categoryid,37
buildid,37
grouppolicydefinitions,37
timeoffrequests,37
method,37
instancegroups,37
speciestypekey,37
grouppolicydefinitionid,37
vpnsites,37
printer,37
sharename,37
iterationid,36
new,36
transactionid,36
sale,36
sensitivitylabelid,36
securityentries,36
accesspackageassignmentpolicies,36
institution,36
drvlc,36
autoscaling,36
detectorid,36
rvcer,36
ediscoverycustodianid,36
taskprocessingresultid,36
columnlinks,36
versionid,36
arptables,36
projectslug,36
codespacename,36
receivedevents,36
appconsentrequestid,36
threatassessmentrequests,36
vnetname,36
createdobjects,36
program,36
networkendpointgroup,36
routetablessummary,36
subject,36
azurefirewalls,36
columnpositions,36
basetypes,36
reimage,36
scan,35
getservicepackages,35
nameid,35
configurationname,35
backuprestore,35
configs,35
upload,35
pod,35
treasury,35
artist,35
webhookid,35
workerpools,35
containerservices,35
sort,35
skuid,35
commit,35
itv,35
patch,35
vmsizes,35
microsoftsecurityinsights,35
keyspacename,35
accesstokens,35
blog,35
feedback,35
private,35
workspacesid,35
slug,35
return,34
microsoftdatamigration,34
advisor,34
uid,34
devicestatuses,34
filesfolder,34
networktrace,34
adcampaign,34
assignedtargetingoptions,34
protecteditems,34
